City,Country,Date,Cloudiness,Latitude,Longitude,Humidity,Max Temperature,Wind Speed
inhambane,MZ,1604802871,0,-23.86,35.38,86,77.11,10.89
kushmurun,KZ,1604802872,100,52.45,64.63,83,40.1,18.43
yanam,IN,1604802872,0,16.73,82.22,74,80.6,5.82
zhanaozen,KZ,1604802873,90,43.3,52.8,81,45.01,10.89
severo-kurilsk,RU,1604802720,20,50.68,156.12,77,36.77,5.99
surgut,RU,1604802874,75,61.25,73.42,97,32.0,8.95
eirunepe,BR,1604802875,60,-6.66,-69.87,88,73.36,1.63
mauriti,BR,1604802875,40,-7.39,-38.77,48,86.0,8.05
ilinskiy,RU,1604802876,90,55.62,38.12,93,45.0,8.95
ponta do sol,PT,1604802682,20,32.67,-17.1,77,62.6,5.82
ketchikan,US,1604802741,1,55.34,-131.65,74,39.2,18.34
chiredzi,ZW,1604802774,0,-21.05,31.67,46,77.76,3.85
chapais,CA,1604802761,40,49.78,-74.85,80,30.2,6.93
cavan,IE,1604802879,100,53.99,-7.36,88,54.0,5.01
darhan,MN,1604802880,0,49.49,105.92,83,30.06,5.28
tual,ID,1604802880,100,-5.67,132.75,73,82.44,12.82
popondetta,PG,1604802881,35,-8.75,148.25,51,91.38,6.8
bida,NG,1604802730,74,9.08,6.02,40,73.11,3.42
luzhou,CN,1604802882,16,28.87,105.44,59,69.66,2.15
sayyan,YE,1604802727,64,15.17,44.32,49,49.17,2.39
chardara,KZ,1604802883,89,41.25,67.97,30,60.67,6.04
kawambwa,ZM,1604802885,0,-9.79,29.08,96,63.57,2.48
beech grove,US,1604802885,1,39.72,-86.09,62,57.2,3.36
vredendal,ZA,1604802886,0,-31.67,18.5,90,56.03,5.37
oskarshamn,SE,1604802887,5,57.26,16.45,90,46.99,3.0
krasnoselkup,RU,1604802888,100,65.7,82.47,98,34.3,14.81
lhokseumawe,ID,1604802888,100,5.18,97.15,74,83.39,1.36
khatanga,RU,1604802687,0,71.97,102.5,87,-3.66,12.88
umm kaddadah,SD,1604802889,30,13.6,26.69,32,69.62,12.17
san jose,US,1604802782,40,37.34,-121.89,58,53.6,11.41
egvekinot,RU,1604802890,98,66.32,-179.17,98,20.57,5.06
pozo colorado,PY,1604802754,35,-23.49,-58.8,30,79.07,6.87
husavik,IS,1604802697,75,66.04,-17.34,45,42.8,14.99
bara,NG,1604802893,1,10.37,10.73,26,70.83,5.79
arica,CL,1604802895,0,-18.48,-70.3,75,62.01,3.47
evensk,RU,1604802895,77,61.95,159.23,89,13.1,10.27
bukama,CD,1604802896,39,-9.2,25.85,90,70.43,1.05
qui nhon,VN,1604802481,88,13.77,109.23,81,77.49,20.33
muscat,OM,1604802816,20,23.61,58.59,83,75.2,2.24
souillac,MU,1604802732,75,-20.52,57.52,88,71.6,9.17
flin flon,CA,1604802790,100,54.77,-101.86,96,16.3,8.63
copiapo,CL,1604802899,89,-27.37,-70.33,76,57.2,10.29
kimbe,PG,1604802900,90,-5.55,150.14,66,86.74,5.17
vardo,NO,1604802727,60,70.37,31.11,78,39.4,36.82
faya,SA,1604802901,0,18.39,42.45,58,59.0,0.54
cuamba,MZ,1604802902,0,-14.8,36.54,62,72.3,6.78
port augusta,AU,1604802773,6,-32.5,137.77,29,80.01,13.87
honiara,SB,1604802903,40,-9.43,159.95,70,87.8,11.41
ancud,CL,1604802733,18,-41.87,-73.82,66,53.01,13.87
coihaique,CL,1604802745,0,-45.58,-72.07,66,50.0,3.36
mayo,US,1604802748,1,38.89,-76.51,100,57.0,3.58
cedar rapids,US,1604802906,1,42.01,-91.64,62,61.0,12.75
teya,RU,1604802906,100,60.38,92.63,83,36.66,13.51
genhe,CN,1604802907,0,50.78,121.52,85,16.0,4.43
puerto del rosario,ES,1604802908,0,28.5,-13.86,82,64.4,6.93
grindavik,IS,1604802700,40,63.84,-22.43,65,39.2,10.29
garowe,SO,1604802910,7,8.41,48.48,79,70.7,9.4
floresta,BR,1604802911,30,-8.6,-38.57,71,77.36,19.19
casma,CL,1604802911,100,-41.01,-73.12,58,55.4,6.93
bathsheba,BB,1604802712,40,13.22,-59.52,83,80.6,20.8
chuy,UY,1604802693,0,-33.7,-53.46,94,59.0,5.53
teodoro sampaio,BR,1604802913,0,-22.53,-52.17,41,74.48,4.7
samdari,IN,1604802914,0,25.82,72.58,23,78.13,4.29
palmas,BR,1604802914,20,-10.21,-48.36,94,73.4,3.36
taltal,CL,1604802737,66,-25.4,-70.48,77,58.26,1.05
goderich,CA,1604802916,15,43.75,-81.72,55,60.8,13.87
mokrousovo,RU,1604802916,100,55.81,66.77,97,37.4,2.89
tevaitoa,PF,1604802917,100,-16.78,-151.5,73,80.33,11.25
ponta delgada,PT,1604802723,20,37.73,-25.67,71,57.2,4.7
shepetivka,UA,1604802918,0,50.19,27.06,94,41.79,5.41
lakota,CI,1604802919,72,5.85,-5.69,99,70.65,2.33
pangai,TO,1604802919,28,-19.8,-174.35,80,75.22,15.97
puerto escondido,MX,1604802920,74,15.85,-97.07,77,79.68,2.86
solnechnyy,RU,1604802759,72,50.72,136.63,84,23.68,6.71
fuxin,CN,1604802921,0,42.02,121.66,50,38.64,16.91
waddan,LY,1604802922,1,29.16,16.14,92,56.01,7.74
petropavlovsk-kamchatskiy,RU,1604802923,3,53.05,158.65,55,35.6,6.71
ligayan,PH,1604802923,51,4.65,119.47,73,82.45,8.41
ulladulla,AU,1604802924,90,-35.35,150.47,55,64.4,12.75
polunochnoye,RU,1604802925,7,60.87,60.42,94,27.86,6.76
okha,RU,1604802926,100,53.57,142.95,87,28.17,15.55
olafsvik,IS,1604802738,49,64.89,-23.71,73,39.65,21.65
ashland,US,1604802927,1,40.82,-82.27,62,53.01,6.93
marmande,FR,1604802928,40,44.5,0.17,97,57.99,5.28
staryy nadym,RU,1604802929,100,65.61,72.68,99,31.91,3.98
grand gaube,MU,1604802931,24,-20.01,57.66,87,71.01,8.01
redlands,US,1604802717,90,34.06,-117.18,66,54.0,3.36
malinyi,TZ,1604802932,64,-8.93,36.13,78,72.3,2.44
salalah,OM,1604802750,0,17.02,54.09,56,71.6,5.82
vao,NC,1604802704,17,-22.67,167.48,72,73.6,14.47
dire dawa,ET,1604802934,85,9.59,41.87,73,65.14,4.68
marawi,PH,1604802935,26,8.0,124.29,75,82.99,5.99
ahipara,NZ,1604802935,55,-35.17,173.17,80,60.04,10.69
aykhal,RU,1604802754,0,66.0,111.5,84,-0.4,2.24
xingyi,CN,1604802937,76,24.19,102.82,76,57.81,3.96
kununurra,AU,1604802938,75,-15.77,128.73,36,93.2,8.05
kushiro,JP,1604802939,20,42.98,144.37,35,55.4,18.34
vestmanna,FO,1604802706,82,62.16,-7.17,86,41.0,10.29
kindu,CD,1604802940,100,-2.95,25.95,98,69.04,2.48
tuma,RU,1604802940,49,55.15,40.55,91,42.75,12.55
naze,JP,1604802898,75,28.37,129.48,73,75.2,12.75
asau,RO,1604802942,0,46.43,26.4,88,42.01,4.65
uarini,BR,1604802942,100,-2.99,-65.11,98,73.98,3.65
san roque,ES,1604802943,87,36.21,-5.38,87,60.8,3.36
union,US,1604802943,1,40.63,-74.27,51,62.01,4.21
zverinogolovskoye,RU,1604802710,100,54.46,64.85,97,37.69,7.34
ossora,RU,1604802945,1,59.24,163.07,84,29.86,3.11
vila velha,BR,1604802741,75,-20.33,-40.29,94,73.4,2.24
koubia,GN,1604802946,0,11.58,-11.9,50,68.58,2.59
susanville,US,1604802825,90,40.42,-120.65,56,42.8,12.75
mount gambier,AU,1604802947,0,-37.83,140.77,48,66.2,8.05
palana,RU,1604802948,52,59.12,159.97,92,27.01,3.36
tetiz,MX,1604802948,20,20.97,-89.93,88,78.01,3.36
huarmey,PE,1604802729,15,-10.07,-78.15,85,61.18,5.41
pisco,PE,1604802696,90,-13.7,-76.22,88,62.6,11.41
murmashi,RU,1604802950,75,68.82,32.81,80,33.8,13.42
quatre cocos,MU,1604802951,75,-20.21,57.76,88,71.6,9.17
santa isabel do rio negro,BR,1604802952,98,-0.41,-65.02,95,71.08,0.87
bilma,NE,1604802699,0,18.69,12.92,44,65.1,12.59
sochi,RU,1604802953,0,43.6,39.73,87,44.6,8.95
inirida,CO,1604802954,100,3.87,-67.92,96,75.33,2.84
yaan,NG,1604802739,51,7.38,8.57,80,72.82,4.05
kifri,IQ,1604802955,46,34.7,44.97,53,66.69,5.66
saint-leu,RE,1604802956,20,-21.15,55.28,64,71.6,6.93
wufeng,CN,1604802956,82,27.45,104.83,79,49.33,3.11
yavatmal,IN,1604802957,0,20.4,78.13,47,66.54,4.83
igrim,RU,1604802958,64,63.19,64.42,98,28.67,5.88
mezhdurechensk,RU,1604802959,31,53.69,88.06,81,38.28,3.78
danville,US,1604802959,1,36.59,-79.39,93,60.01,3.36
sokoni,TZ,1604802960,40,-6.43,39.55,80,79.83,9.06
qingdao,CN,1604802961,0,36.1,120.37,42,55.4,6.71
ryotsu,JP,1604802962,75,38.08,138.43,55,64.4,10.29
fort nelson,CA,1604802607,20,58.81,-122.7,84,8.6,1.54
saldanha,ZA,1604802697,64,-33.01,17.94,82,59.0,10.29
mocuba,MZ,1604802964,0,-16.84,36.99,57,74.75,4.45
narsaq,GL,1604802752,100,60.92,-46.05,74,28.4,5.82
morondava,MG,1604802965,85,-20.28,44.28,76,79.77,2.3
tianmen,CN,1604802966,0,30.65,113.16,27,70.74,7.85
torbay,CA,1604802689,90,47.67,-52.73,80,37.0,12.75
drayton valley,CA,1604802970,100,53.22,-114.99,89,18.0,8.01
kavieng,PG,1604802729,36,-2.57,150.8,65,85.01,3.27
alofi,NU,1604802697,29,-19.06,-169.92,69,80.6,12.75
camocim,BR,1604802972,0,-2.9,-40.84,80,77.31,11.14
twin falls,US,1604802973,75,42.35,-114.64,80,39.99,6.93
munai,PH,1604802974,47,7.98,124.06,68,81.46,3.67
oktyabrskoye,RU,1604802771,100,43.06,44.74,81,44.6,6.71
ravar,IR,1604802975,86,31.27,56.81,30,57.56,8.46
naples,IT,1604802783,0,40.83,14.25,81,55.0,2.24
petatlan,MX,1604802976,45,17.52,-101.27,87,75.36,2.21
isangel,VU,1604802751,75,-19.55,169.27,79,84.2,8.75
shubarkuduk,KZ,1604802978,90,49.14,56.49,84,36.05,15.61
knyaze-volkonskoye,RU,1604802978,75,48.46,135.46,92,28.4,6.71
lipno,PL,1604802979,0,52.84,19.18,98,44.01,1.01
hovd,MN,1604802980,17,48.01,91.64,78,34.12,1.12
poum,NC,1604802980,6,-20.23,164.02,79,76.41,22.03
rio gallegos,AR,1604802717,40,-51.62,-69.22,54,59.0,10.29
goundam,ML,1604802982,16,16.41,-3.67,16,77.65,8.75
curup,ID,1604802982,95,-3.47,102.53,55,83.8,2.62
lerwick,GB,1604802983,19,60.15,-1.15,100,44.6,1.12
ayorou,NE,1604802983,0,14.73,0.92,17,76.57,10.36
namibe,AO,1604802733,100,-15.2,12.15,70,68.63,5.06
mersing,MY,1604802985,20,2.43,103.84,88,80.6,2.24
kapit,MY,1604802985,100,2.02,112.93,54,91.47,0.49
san quintin,MX,1604802693,0,30.48,-115.95,66,61.29,17.92
spas-klepiki,RU,1604802987,58,55.13,40.18,93,39.58,4.7
gujan-mestras,FR,1604802988,0,44.63,-1.07,93,57.2,3.36
surubim,BR,1604802988,40,-7.83,-35.75,88,73.4,11.41
sisimiut,GL,1604802989,68,66.94,-53.67,83,14.04,9.48
novikovo,RU,1604802989,1,51.15,37.89,91,42.49,11.03
awjilah,LY,1604802990,0,29.11,21.29,88,59.32,8.66
mountain home,US,1604802991,90,43.13,-115.69,70,46.4,13.87
viedma,AR,1604802624,99,-40.81,-63.0,85,55.99,1.01
porterville,US,1604802797,90,36.07,-119.02,87,48.2,5.82
college,US,1604802697,90,64.86,-147.8,85,21.99,4.7
nampula,MZ,1604802993,0,-15.12,39.27,73,73.4,11.41
tiarei,PF,1604802684,75,-17.53,-149.33,74,82.4,12.75
farafangana,MG,1604802994,6,-22.82,47.83,87,72.41,5.23
shaunavon,CA,1604802995,100,49.65,-108.42,79,32.0,14.99
ciparay,ID,1604802995,68,-7.42,108.47,65,85.62,3.67
boulder city,US,1604802786,40,35.98,-114.83,49,48.0,10.94
madras,IN,1604802987,40,13.09,80.28,94,78.8,2.24
harper,LR,1604802710,50,4.38,-7.72,86,78.15,5.93
salisbury,GB,1604802961,99,51.07,-1.8,100,50.0,6.93
sumenep,ID,1604803000,88,-7.02,113.87,59,87.48,3.89
kayerkan,RU,1604803000,75,69.35,87.76,85,19.4,22.37
watsa,CD,1604803001,83,3.04,29.54,100,62.74,1.48
skaerbaek,DK,1604803002,90,55.16,8.77,88,39.2,1.12
hamilton,US,1604802723,0,39.18,-84.53,67,57.0,2.71
anshun,CN,1604803003,41,26.25,105.93,61,58.41,8.61
arlit,NE,1604802709,0,18.74,7.39,28,69.53,10.85
narsingdi,BD,1604803004,0,23.92,90.72,78,73.4,5.03
jalu,LY,1604803005,0,29.03,21.55,87,59.47,9.01
letterkenny,IE,1604803006,100,54.95,-7.73,92,47.61,4.36
skegness,GB,1604802745,90,53.14,0.34,100,48.2,5.82
altagracia de orituco,VE,1604803007,43,9.86,-66.38,93,72.86,2.91
karratha,AU,1604802708,0,-20.74,116.85,25,91.83,14.12
magadan,RU,1604803008,51,59.57,150.8,90,13.46,15.41
borger,NL,1604803009,0,52.92,6.79,95,42.01,5.46
ahuimanu,US,1604803010,75,21.44,-157.84,65,84.2,12.75
lasa,IT,1604802766,5,46.62,10.7,46,42.01,4.7
kapuskasing,CA,1604802742,100,49.42,-82.43,93,37.4,4.7
deputatskiy,RU,1604802720,99,69.3,139.9,93,-3.89,3.62
warwick,US,1604802639,75,41.7,-71.42,71,59.0,3.36
marasu,RO,1604803013,0,44.85,27.97,93,39.2,2.24
elko,US,1604802721,90,41.0,-115.5,80,34.0,5.82
urbana,US,1604802941,1,40.11,-88.21,76,60.01,6.93
sao felix do xingu,BR,1604803015,52,-6.64,-51.99,95,72.0,2.53
enshi,CN,1604803015,0,30.3,109.48,52,67.1,0.78
lorengau,PG,1604802767,100,-2.02,147.27,60,85.17,5.88
key west,US,1604802848,90,24.56,-81.78,100,75.2,16.11
kamenskiy,RU,1604803017,9,50.89,45.49,100,37.11,8.48
sorong,ID,1604802731,100,-0.88,131.25,79,83.82,10.49
cachoeira do sul,BR,1604803018,2,-30.04,-52.89,92,61.45,5.99
sawtell,AU,1604803019,40,-30.38,153.1,53,71.6,17.22
jacmel,HT,1604802769,100,18.23,-72.53,84,75.76,6.15
alta floresta,BR,1604803020,59,-9.88,-56.09,82,73.56,3.58
benguela,AO,1604803021,93,-12.58,13.41,74,74.79,3.49
kipini,KE,1604803021,1,-2.53,40.53,94,77.0,7.45
acheng,CN,1604803022,0,45.55,126.98,68,35.01,17.9
aleksandrov gay,RU,1604803023,0,50.15,48.57,86,36.05,11.65
igarka,RU,1604803023,100,67.47,86.58,97,16.59,14.61
sao filipe,CV,1604802685,82,14.9,-24.5,77,79.0,7.81
dawei,MM,1604803024,80,14.08,98.2,61,83.64,12.17
beloha,MG,1604803026,0,-25.17,45.05,81,72.5,3.04
mazagao,BR,1604803026,40,-0.12,-51.29,83,82.4,12.75
zeya,RU,1604802763,38,53.75,127.27,78,13.77,7.61
rudsar,IR,1604803028,90,37.14,50.29,93,60.8,6.93
antananarivo,MG,1604803028,20,-18.91,47.54,93,57.2,3.36
ugoofaaru,MV,1604802784,52,5.67,73.0,71,83.21,6.51
de-kastri,RU,1604803029,41,51.47,140.78,82,27.54,11.65
kortkeros,RU,1604802786,90,61.81,51.58,98,32.0,8.95
lao cai,VN,1604803031,36,22.48,103.95,54,79.79,1.41
myitkyina,MM,1604803032,0,25.38,97.4,50,76.03,2.13
sao gabriel da cachoeira,BR,1604803032,99,-0.13,-67.09,98,71.55,0.36
sabang,ID,1604802743,57,5.89,95.32,74,81.05,3.91
buckeye,US,1604803034,7,33.37,-112.58,38,64.4,13.87
wangqing,CN,1604803035,9,43.32,129.76,67,35.51,22.19
laguna,US,1604803036,20,38.42,-121.42,47,55.99,4.7
yubari,JP,1604803036,75,43.04,141.96,34,54.0,5.82
tucumcari,US,1604803037,1,35.17,-103.72,45,66.2,21.92
somerset,US,1604803038,1,40.57,-74.55,87,61.0,3.62
tamandare,BR,1604803038,10,-8.76,-35.1,83,76.93,10.4
san joaquin,US,1604802749,1,37.93,-121.3,44,57.2,6.93
male,MV,1604803040,16,4.17,73.51,69,83.75,4.74
jaisalmer,IN,1604803040,0,26.91,70.92,21,79.07,1.95
kangaatsiaq,GL,1604803041,13,68.31,-53.46,86,15.42,10.47
heyang,CN,1604803041,0,26.1,107.47,50,62.83,8.68
okhotsk,RU,1604802748,35,59.38,143.3,90,13.95,15.73
jacinto city,US,1604803043,1,29.77,-95.23,77,70.0,4.7
suraabad,AZ,1604803043,90,40.82,49.47,87,51.8,16.11
rabo de peixe,PT,1604803044,20,37.8,-25.58,71,57.2,4.7
ambanja,MG,1604803045,99,-13.68,48.45,72,76.46,3.27
bolobo,CD,1604803045,85,-2.17,16.23,88,72.7,1.5
luderitz,NA,1604802688,0,-26.65,15.16,87,60.51,4.54
hokitika,NZ,1604803046,100,-42.72,170.97,50,58.28,10.25
sorland,NO,1604802688,98,67.67,12.69,67,41.4,14.97
batemans bay,AU,1604803048,13,-35.72,150.18,54,64.99,1.01
omboue,GA,1604803049,100,-1.57,9.26,89,76.57,6.04
khandyga,RU,1604803050,97,62.67,135.6,87,-5.48,0.09
rancho palos verdes,US,1604803020,40,33.74,-118.39,62,57.99,6.93
eureka,US,1604802800,4,40.8,-124.16,45,51.01,5.01
yashkul,RU,1604803052,0,46.17,45.34,75,43.03,12.1
tarauaca,BR,1604803052,74,-8.16,-70.77,71,76.89,0.94
berbera,SO,1604803054,44,10.44,45.01,78,75.65,3.56
mikhaylovka,RU,1604803054,0,50.06,43.24,93,34.0,3.0
bontang,ID,1604802686,100,0.13,117.5,78,80.87,1.36
morrisburg,CA,1604803049,40,44.9,-75.18,58,59.0,12.75
mbandaka,CD,1604803056,92,0.05,18.26,92,70.63,1.97
bac lieu,VN,1604802709,43,9.29,105.72,75,83.57,9.31
tosham,IN,1604803057,0,28.88,75.92,22,71.26,1.97
leshukonskoye,RU,1604802786,100,64.9,45.76,95,33.51,16.53
ipameri,BR,1604803058,100,-17.72,-48.16,61,73.22,7.65
nioro,GM,1604802725,0,13.35,-15.75,50,78.26,7.2
buchanan,LR,1604803060,26,5.88,-10.05,89,78.01,5.86
tres rios,BR,1604803060,87,-22.12,-43.21,89,70.43,0.81
hobyo,SO,1604802727,32,5.35,48.53,79,79.27,10.58
kasempa,ZM,1604803061,0,-13.46,25.83,32,65.7,2.55
